model,epoch,val_loss,val_f1_macro
mono_nep_microsoft_mdeberta-v3-base_1,2.0,0.3716441392898559,0.8705666732712503
mono_nep_microsoft_mdeberta-v3-base_1,3.0,0.4013022482395172,0.8756095749684383
mono_nep_microsoft_mdeberta-v3-base_1,4.0,0.5475330352783203,0.8656184226816888
mono_nep_microsoft_mdeberta-v3-base_1,5.0,0.5345674753189087,0.8805940594059406
mono_nep_microsoft_mdeberta-v3-base_1,5.0,0.5345674753189087,0.8805940594059406
mono_nep_microsoft_mdeberta-v3-base_1,5.0,0.5217543840408325,0.8852860696517413
mono_ori_microsoft_mdeberta-v3-base_1,1.0,0.5588420629501343,0.4162561576354679
mono_ori_microsoft_mdeberta-v3-base_1,2.0,0.4556883573532104,0.7125879214164443
mono_ori_microsoft_mdeberta-v3-base_1,3.0,0.44643434882164,0.738517489375613
mono_ori_microsoft_mdeberta-v3-base_1,4.0,0.4527345895767212,0.7579931471102135
mono_ori_microsoft_mdeberta-v3-base_1,5.0,0.4958249926567077,0.7255326122582759
mono_ori_microsoft_mdeberta-v3-base_1,5.0,0.4527345895767212,0.7579931471102135
mono_ori_microsoft_mdeberta-v3-base_1,5.0,0.4726152420043945,0.7482259556563516
mono_pan_microsoft_mdeberta-v3-base_1,1.0,0.5832929015159607,0.678030303030303
mono_pan_microsoft_mdeberta-v3-base_1,2.0,0.5554028749465942,0.6882245060382712
mono_pan_microsoft_mdeberta-v3-base_1,3.0,0.5802215933799744,0.7118219339622642
mono_pan_microsoft_mdeberta-v3-base_1,4.0,0.5745553374290466,0.7337370784170407
mono_pan_microsoft_mdeberta-v3-base_1,5.0,0.6091440320014954,0.7469800283825412
mono_pan_microsoft_mdeberta-v3-base_1,5.0,0.6091440320014954,0.7469800283825412
mono_pan_microsoft_mdeberta-v3-base_1,5.0,0.6324218511581421,0.7407368895358912
mono_pol_microsoft_mdeberta-v3-base_1,1.0,0.5838540196418762,0.7361059992638941
mono_pol_microsoft_mdeberta-v3-base_1,2.0,0.5627613067626953,0.6863739537523053
mono_pol_microsoft_mdeberta-v3-base_1,3.0,0.513832151889801,0.7656862745098039
mono_pol_microsoft_mdeberta-v3-base_1,4.0,0.5515637993812561,0.7853935947321162
mono_pol_microsoft_mdeberta-v3-base_1,5.0,0.5841633677482605,0.7965668889204143
mono_pol_microsoft_mdeberta-v3-base_1,5.0,0.5841633677482605,0.7965668889204143
mono_pol_microsoft_mdeberta-v3-base_1,5.0,0.5378835201263428,0.8106004398338406
mono_rus_microsoft_mdeberta-v3-base_1,1.0,0.5106697678565979,0.6883720930232559
mono_rus_microsoft_mdeberta-v3-base_1,2.0,0.6523619890213013,0.6904290429042904
mono_rus_microsoft_mdeberta-v3-base_1,3.0,0.7015556693077087,0.6915010545702998
mono_rus_microsoft_mdeberta-v3-base_1,4.0,0.9109618067741394,0.6921535412584006
mono_rus_microsoft_mdeberta-v3-base_1,5.0,0.979254961013794,0.7025253400329203
mono_rus_microsoft_mdeberta-v3-base_1,5.0,0.979254961013794,0.7025253400329203
mono_rus_microsoft_mdeberta-v3-base_1,5.0,0.7982873916625977,0.7503501733868225
mono_spa_microsoft_mdeberta-v3-base_1,1.0,0.5587264895439148,0.7521550149755278
mono_spa_microsoft_mdeberta-v3-base_1,2.0,0.5550636649131775,0.7148643695014663
mono_spa_microsoft_mdeberta-v3-base_1,3.0,0.6297152042388916,0.7334358298557727
mono_spa_microsoft_mdeberta-v3-base_1,4.0,0.7781997323036194,0.7304880838022049
mono_spa_microsoft_mdeberta-v3-base_1,5.0,0.8424611687660217,0.7431649093979643
mono_spa_microsoft_mdeberta-v3-base_1,5.0,0.5587264895439148,0.7521550149755278
mono_spa_microsoft_mdeberta-v3-base_1,5.0,0.5740557909011841,0.7256072528616742
mono_swa_microsoft_mdeberta-v3-base_1,1.0,0.4304938018321991,0.8133135559792256
mono_swa_microsoft_mdeberta-v3-base_1,2.0,0.4381929636001587,0.810954121523054
mono_swa_microsoft_mdeberta-v3-base_1,3.0,0.4449155628681183,0.8195796460176992
