model,epoch,val_loss,val_f1_macro,thresholds
xlm-roberta-base_3,2.0,0.3677407205104828,0.5496114506125074,"0.35000000000000003,0.35000000000000003,0.25,0.3,0.35000000000000003,0.3"
xlm-roberta-base_3,3.0,0.381511926651001,0.5491702793888618,"0.35000000000000003,0.35000000000000003,0.25,0.3,0.35000000000000003,0.3"
xlm-roberta-base_3,4.0,0.3784025311470032,0.5784264915042227,"0.35000000000000003,0.35000000000000003,0.25,0.3,0.35000000000000003,0.3"
xlm-roberta-base_3,5.0,0.390886127948761,0.5773888523788192,"0.35000000000000003,0.35000000000000003,0.25,0.3,0.35000000000000003,0.3"
xlm-roberta-base_3,5.0,0.3784025311470032,0.5784264915042227,"0.35000000000000003,0.35000000000000003,0.25,0.3,0.35000000000000003,0.3"
xlm-roberta-base_3,5.0,0.37034255266189575,0.5791926660476854,"0.35000000000000003,0.35000000000000003,0.25,0.3,0.35000000000000003,0.3"
bert-base-multilingual-cased_1,1.0,0.38851770758628845,0.5064439720415129,"0.3,0.15000000000000002,0.3,0.25,0.3,0.25"
bert-base-multilingual-cased_1,2.0,0.3817893862724304,0.49660141744979325,"0.3,0.15000000000000002,0.3,0.25,0.3,0.25"
bert-base-multilingual-cased_1,3.0,0.3967660665512085,0.5339459457936658,"0.3,0.15000000000000002,0.3,0.25,0.3,0.25"
bert-base-multilingual-cased_1,4.0,0.42888790369033813,0.5240494843237381,"0.3,0.15000000000000002,0.3,0.25,0.3,0.25"
bert-base-multilingual-cased_1,5.0,0.4458785653114319,0.5275713766048161,"0.3,0.15000000000000002,0.3,0.25,0.3,0.25"
bert-base-multilingual-cased_1,5.0,0.3967660665512085,0.5339459457936658,"0.3,0.15000000000000002,0.3,0.25,0.3,0.25"
bert-base-multilingual-cased_1,5.0,0.40013107657432556,0.5328769748388192,"0.3,0.15000000000000002,0.3,0.25,0.3,0.25"
bert-base-multilingual-cased_2,1.0,0.39111337065696716,0.5356176192874671,"0.25,0.2,0.25,0.25,0.2,0.25"
bert-base-multilingual-cased_2,2.0,0.37927836179733276,0.520904844097879,"0.25,0.2,0.25,0.25,0.2,0.25"
bert-base-multilingual-cased_2,3.0,0.395285964012146,0.5244315315866241,"0.25,0.2,0.25,0.25,0.2,0.25"
bert-base-multilingual-cased_2,4.0,0.4271000027656555,0.5303841499067448,"0.25,0.2,0.25,0.25,0.2,0.25"
bert-base-multilingual-cased_2,5.0,0.442853718996048,0.527358853782146,"0.25,0.2,0.25,0.25,0.2,0.25"
bert-base-multilingual-cased_2,5.0,0.39111337065696716,0.5356176192874671,"0.25,0.2,0.25,0.25,0.2,0.25"
bert-base-multilingual-cased_2,5.0,0.39612650871276855,0.5279915161147398,"0.25,0.2,0.25,0.25,0.2,0.25"
bert-base-multilingual-cased_3,1.0,0.39102989435195923,0.5164683582341758,"0.2,0.25,0.3,0.2,0.2,0.3"
bert-base-multilingual-cased_3,2.0,0.3795650899410248,0.5124259096427917,"0.2,0.25,0.3,0.2,0.2,0.3"
bert-base-multilingual-cased_3,3.0,0.404192715883255,0.5338659560501567,"0.2,0.25,0.3,0.2,0.2,0.3"
bert-base-multilingual-cased_3,4.0,0.42990627884864807,0.5392022956468893,"0.2,0.25,0.3,0.2,0.2,0.3"
bert-base-multilingual-cased_3,5.0,0.4443039298057556,0.5368658321844048,"0.2,0.25,0.3,0.2,0.2,0.3"
bert-base-multilingual-cased_3,5.0,0.42990627884864807,0.5392022956468893,"0.2,0.25,0.3,0.2,0.2,0.3"
bert-base-multilingual-cased_3,5.0,0.43136462569236755,0.5357760239019324,"0.2,0.25,0.3,0.2,0.2,0.3"
microsoft_mdeberta-v3-base_1,1.0,0.3708183765411377,0.5297247579492236,"0.3,0.3,0.3,0.3,0.3,0.35000000000000003"
microsoft_mdeberta-v3-base_1,2.0,0.37136349081993103,0.5363373496740279,"0.3,0.3,0.3,0.3,0.3,0.35000000000000003"
microsoft_mdeberta-v3-base_1,3.0,0.3826071619987488,0.5605829968347632,"0.3,0.3,0.3,0.3,0.3,0.35000000000000003"
microsoft_mdeberta-v3-base_1,4.0,0.3941703736782074,0.5831679492670628,"0.3,0.3,0.3,0.3,0.3,0.35000000000000003"
microsoft_mdeberta-v3-base_1,5.0,0.40386906266212463,0.5822947996025699,"0.3,0.3,0.3,0.3,0.3,0.35000000000000003"
microsoft_mdeberta-v3-base_1,5.0,0.3941703736782074,0.5831679492670628,"0.3,0.3,0.3,0.3,0.3,0.35000000000000003"
microsoft_mdeberta-v3-base_1,5.0,0.39032256603240967,0.5760842334989874,"0.3,0.3,0.3,0.3,0.3,0.35000000000000003"
microsoft_mdeberta-v3-base_2,1.0,0.37938037514686584,0.5030166684974665,"0.35000000000000003,0.15000000000000002,0.35000000000000003,0.3,0.35000000000000003,0.35000000000000003"
microsoft_mdeberta-v3-base_2,2.0,0.3760634958744049,0.5104855166132515,"0.35000000000000003,0.15000000000000002,0.35000000000000003,0.3,0.35000000000000003,0.35000000000000003"
microsoft_mdeberta-v3-base_2,3.0,0.39598482847213745,0.5399351164690733,"0.35000000000000003,0.15000000000000002,0.35000000000000003,0.3,0.35000000000000003,0.35000000000000003"
microsoft_mdeberta-v3-base_2,4.0,0.4061813950538635,0.569590333975399,"0.35000000000000003,0.15000000000000002,0.35000000000000003,0.3,0.35000000000000003,0.35000000000000003"
microsoft_mdeberta-v3-base_2,5.0,0.4206923246383667,0.5661160056616242,"0.35000000000000003,0.15000000000000002,0.35000000000000003,0.3,0.35000000000000003,0.35000000000000003"
microsoft_mdeberta-v3-base_2,5.0,0.4061813950538635,0.569590333975399,"0.35000000000000003,0.15000000000000002,0.35000000000000003,0.3,0.35000000000000003,0.35000000000000003"
microsoft_mdeberta-v3-base_2,5.0,0.3977012634277344,0.5753776291338119,"0.35000000000000003,0.15000000000000002,0.35000000000000003,0.3,0.35000000000000003,0.35000000000000003"
microsoft_mdeberta-v3-base_3,1.0,0.3745473623275757,0.49941780712643075,"0.45,0.25,0.25,0.35000000000000003,0.3,0.3"
